ticker,year,quarter,fiscal_period,total_blocks,total_words,candidate_blocks,ai_related_blocks,ai_adoption_related_blocks,ai_innovation_related_blocks,ai_adoption_score_sum,ai_innovation_score_sum,ai_adoption_score_mean_candidates,ai_innovation_score_mean_candidates,high_adoption_ai_related_blocks,high_innovation_ai_related_blocks,measurable_impact_adoption_blocks,measurable_impact_innovation_blocks,product_innovation_blocks,process_innovation_blocks,technology_innovation_blocks,ai_adoption_score_mean_ai_related,ai_innovation_score_mean_ai_related,share_candidate_blocks,share_ai_related_blocks,ai_adoption_score_sum_norm_blocks,ai_adoption_score_sum_norm_words,share_ai_adoption_related_blocks,share_high_adoption_blocks,share_measurable_impact_adoption_blocks,ai_innovation_score_sum_norm_blocks,ai_innovation_score_sum_norm_words,share_ai_innovation_related_blocks,share_high_innovation_blocks,share_measurable_impact_innovation_blocks,share_product_innovation_blocks,share_process_innovation_blocks,share_technology_innovation_blocks,sum_adjusted_score,ai_adoption_score_mean,ai_related_candidate_blocks,high_adoption_candidate_blocks,measurable_impact_candidate_blocks
XRX,2016,1,2016Q1,14,8066,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XRX,2016,2,2016Q2,22,7886,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XRX,2016,3,2016Q3,23,7864,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XRX,2016,4,2016Q4,21,7178,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XRX,2017,1,2017Q1,16,9790,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XRX,2017,2,2017Q2,18,7865,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XRX,2017,3,2017Q3,12,8025,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XRX,2017,4,2017Q4,21,8689,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XRX,2018,1,2018Q1,22,8027,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0909090909090909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XRX,2018,3,2018Q3,14,8057,4,3.0,1.0,1.0,4.74,3.3,1.185,0.825,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.74,3.3,0.2857142857142857,0.2142857142857142,0.3385714285714286,0.5883083033387118,0.0714285714285714,1.0,0.0,0.2357142857142857,0.4095817301725207,0.0714285714285714,0.0,0.0,0.0,0.0,1.0,4.74,4.74,3.0,1.0,0.0
